name,prompt,negative_prompt
"3D Character,""3D toy, standing character, tiny, cute, soft lighting, pastel colors, skottie young, blender, pop surrealism, pbr"","
"Adorable,""Cute and adorable cartoon, fantasy, dreamlike, surrealism, super cute, trending on artstation"",ugly"
"Anime Portrait,""portrait of an anime person, aesthetic, wlop, trending on artstation, deviantart, anime key visual, 8k uhd"","
"ArchViz,""by James McDonald and Joarc Architects, home, interior, octane render, deviantart, cinematic, key art, hyperrealism, sun light, sunrays, canon eos c 300, ƒ 1.8, 35 mm, 8k"","
"Beautiful Portrait,""alluring portrait, intricate, highly detailed, digital painting, artstation, concept art, naughty, sharp focus, cinematic lighting, illustration, art by artgerm and greg rutkowski, alphonse mucha, cgsociety"","
"Building,""shot 35 mm, realism, octane render, 8k, trending on artstation, 35 mm camera, unreal engine, hyper detailed, photo-realistic maximum detail, volumetric light, realistic matte painting, hyper photorealistic, trending on artstation, ultra-detailed, realis"","
"Caricature,""Cartoon caricature realistic, cute as a pixar disney character caricature cute full body from up 2009 unreal engine octane render 3d render photorealistic"","
"CGI Character,""portrait of a CGI animation character, magical background, bright natural lighing, backlighting, professional studio quality, looking at camera, large round cute detailed eyes, detailed, cute, adorable, intricately detailed, fantasy art, digital painting"",""Blurry, Blur, Grainy, Oversaturated, Tiling, Draft, Out of frame, Out of Focus, Cut off, Cropped image, Text, Signature, Watermark, Low quality, Bad quality, Low res, Plastic, Ugly, Bad anatomy, Deformed, Disfigured, Two heads, Two faces, Long neck"""
"Comic Art,""Retro style artwork, comic book art, high details, comic book cover, symmetrical, vibrant colors"","
"Control Room,""steampunk happy Funny cartoonish at a complex nuclear control room, by Gediminas Pranckevicius H 704, machinarium style, intricate"","
"Cute Creature,""cute cute cute creature, an illustration by esao andrews, cyril rolando and goro fujita, deviantart, fantasy art, storybook illustration, oil on canvas"","
"Cute Kawaii,""cute, tiny, little chibi, kawai, furry, great face expression, dynamic pose, trending on artstation, cinematic, hyper realism, high detail, 8k, 8mm, octane render, bokeh, artstation, detailed, character design by mark ryden and pixar"","
"CyberPunk,""cyberpunk, in heavy raining futuristic tokyo rooftop cyberpunk night, sci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration,"","
"Dark,""Style of stephen gammell, watercolors, black and white, swamp, shadowy creatures, dripping, infected"","
"Dataviz,""polygonal, hologram,orthographic projection lines,axis, blueprint, dataviz, infographic,tron, minority report interface,vaporwave, synthwave"","
"Digital Art,""intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by wlop, charlie bowater and alexandra fomina"","
"Digital Portrait,""digital painting portrait, natural lighting, in the style of pixar, trending on artstation, sharp, focus art by Arthur Streeton and Božidar Jakac"","
"Dramatic,""Wide angle, chaotic cabin in background. vibrant, photorealistic, realistic, dramatic, dark, sharp focus, 8k."","
"Drawing,""cute, funny, centered, award winning watercolor pen illustration, detailed, disney, isometric illustration, drawing, by Stephen Hillenburg, Matt Groening, Albert Uderzo"","
"Fashion,""photograph of a Fashion model, full body, highly detailed and intricate, golden ratio, vibrant colors, hyper maximalist, futuristic, city background, luxury, elite, cinematic, fashion, depth of field, colorful, glow, trending on artstation, ultra high d"","
"Figurine,""plastic funky pop figurine, product, studio shot, plain background, diffused lighting, centered"","
"Horror,""dark  themed background. very dark and scary horror vibes. hyper intricate details. purple, red, white colors. hyperrealistic artwork style. scary horror metal music vibe. godrays, gorgeous, amazing, intricate, highly detailed, digital painting, artstatio"","
"Illustration,""illustration, fisheye lens, high contrast, highly detailed, sharp focus, digital painting, 3 d art, illustration, trending on artstation"","
"Isometric,""Detailed isometric render, unreal engine voxel render, video game, very cozy, nostalgia, c4d render, ultra detailed, octane render, volumetric lighting, 8k post-production isometric, isometric render, tiltshift"","
"Logo,""2d vector illustration, emblem logo, 2d flat, centered, illustrator, symetrical, victory, 2D team logo, company logo design"","
"Low Poly,""Low poly character, 3d isometric render, plain background, unity, kawaii, cute, blender, polycount"","
"Needle Felted,""3D Felt fiber toy, made from Felt fibers, Tiny 3D render, trending on cgsociety, maya, octane render, made of yarn, Cute"","
"Negative prompt,,""Blurry, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, extra limbs, disfigured, deformed, body out of frame, bad anatomy, watermark, signature, cut off, Low quality, Bad quality, Long neck"""
"Nightmare,""nightmare by tim burton, monster dreams, v-ray octane, highly detailed by artgem, art, trending artstation, blender, vivid color, steampunk, messi, cinematic light, alexa, ultra primme"","
"Oil Painting,""oil painting from studio ghibli film, by noriyuki morimoto, digital artist, bright and bold colors, expansive sky, sense of adventure, epic scope studio ghibli"","
"Origami,""origami style, paper sticker, studio lighting, plain background, pastel colors, papercraft"","
"Pencil Sketch,""Hyperrealist pencil sketch drawing, black and white painting, fantasy art, photo realistic, dynamic lighting, artstation, poster, volumetric lighting, very detailed, 4k, da vinci style made with a charcoal pencil"","
"Photograph,""high quality photography, 3 point lighting, flash with softbox, 4k, Canon EOS R3, hdr, smooth, sharp focus, high resolution, award winning photo, 80mm, f2.8, bokeh"","
"Pixar,""animation pixar style, pendleton ward, magali villeneuve, artgerm, rob rey and kentaro miura style, golden ratio, behance, trending on art station"","
"Postapocalyptic,""fog, animals, birds, deer, bunny, postapocalyptic, overgrown with plant life and ivy, artgerm, yoshitaka amano, gothic interior, 8k, octane render, unreal engine"","
"Poster Illustration,""official fanart behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination"","
"Psycho,""anthropomorphic, beautiful, borderlands 3 psycho portrait, colourful vector, graphic novel, grunge"","
"Punky,""in a punk style, piercings, tatoos, trash, garbages, color paint splats, coloured spoils, dust and scratches, punk crete, rainbow coloured hairs,synthwave,dark mood lighting"",""ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, extra limbs, disfigured, deformed, body out of frame, bad anatomy, watermark, signature, cut off, low contrast, underexposed, overexposed, bad art, beginner, amateur, di"""
"Realistic Anime Face,""Closeup face portrait, smooth soft skin, beautiful eyes, intricate colored hair, symmetrical, anime wide eyes, soft lighting, detailed face, by makoto shinkai, stanley artgerm lau, wlop, rossdraws, concept art, digital painting"","
"Realistic Shaded,""fine-face, realistic shaded perfect face, fine details. Night setting. Very anime style. Realistic shaded lighting poster by Ilya Kuvshinov katsuhiro, magali villeneuve, artgerm, Jeremy Lipkin and Michael Garmash, Rob Rey and Kentarõ Miura style, trendin"",blurry"
"Render 3D,""highly detailed, CG render, octane, bokeh, 4k, 8k, 8mm, unreal engine 3d"","
"Robotize,""steampunk robot happy Funny cartoonish, by Gediminas Pranckevicius"","
"Schematic,""23rd century scientific schematics, blueprint, hyperdetailed vector technical documents, callouts, legend, patent registry"","
"Sticker,""Sticker, Cute sticker, Kawaii sticker, die-cut, plain background, illustration minimalism, vector, pastel colors, kawaii"","
"Stuffed Plush,""kawaii plush toy, very cute, visible stitch line, soft lighting, vibrant, studio lighting, PBR, realistic texture, smooth"","
"Tokyo Background,""highly detailed matte painting of a suburban tokyo street with a bright shimmering sky by Studio Ghibli, Mokoto Shinkai, by Artgerm, by beeple, volumetric lighting, octane render, 4K resolution, trending on artstation, vivid colours"","
"Toon Monster,""cartoon monster, cute, big eyes, big mouth, art by gediminas pranckevicius and Alexander Jansson, pixar, centered, dramatic lighting, glowing light, simple solid background, no background, detailed face, cinematic, illustration, no gradient, trending on a"","
"Typography,""typography by kaws, studio ghibli by tim hildebrandt, michael whelan, background environment. sharpen. an intricate, elegant, highly detailed digital painting, concept art, smooth"","
"Warm Scene,""unreal engine, warm indoor lighting, arts station, detailed digital painting, cinematic, character design by mark ryden and pixar and hayao miyazaki, unreal 5, daz, hyperrealistic, octane rendering"","
"Woolitize,""puppet,intricated wool material,elegant,highly detailed,patchwork,sewing thread,patches,fabric texture,knitting,badges,embroidery"",needle"

